county_en,pop_11,lat,lng,Πρωτεύουσα,cases_normalized_2011,cases,hospitalized,dead,critical,recovered,notes
Mount Athos,,,,,,,,,,,
Athens Prefecture,2641511,37.9838,23.7275,Αθήνα,52.2,1378,,72,,,
Aetolia-Acarnania,210802,,,Μεσολόγγι,0,,,,,,
East Attica,502348,,,,11.3,57,,2,,,
Unknown,,39.307306,21.808591,,,507,816,30,16,1442,
Argolis,97044,37.6525,22.8582,Ναύπλιο,4.1,4,,,,,
Arcadia,86685,37.46442,22.32766,Τρίπολη,3.5,3,,,,,
Arta,67877,39.1566939,20.9830924,Άρτα,4.4,3,,,,,
Achaea,309694,38.246639,21.734573,Πάτρα,12.3,38,,4,,,
Boeotia,117920,,,Λιβαδειά,2.5,3,,,,,
Grevena,31757,,,Γρεβενά,0,,,,,,
West Attica,160927,,,,3.1,5,,3,,,
Facilities for refugees,,,,,,172,,,,,
Drama,98287,,,Δράμα,0,,,,,,
Dodecanese,190988,35.5066,27.2124,Ρόδος,1,2,,,,,
Evros,147947,41.2444,26.1359,Αλεξανδρούπολη,7.4,11,2,7,,,
Euboea,210815,38.5236,23.8585,Χαλκίδα,0.9,2,,,,,
Evrytania,20081,,,Καρπενήσι,0,,,,,,
Zakynthos,40759,37.7911,20.7838,Ζάκυνθος,12.3,5,3,1,,,
Elis,159300,37.6718,21.4432,Πύργος,30.1,48,,1,,,
Imathia,140611,,,Βέροια,2.1,3,,,,,
Herakleion,305490,35.3388,25.1442,Ηράκλειο,2.9,9,1,1,,,
Thesprotia,43587,,,Ηγουμενίτσα,0,,,,,,
Thessaloniki,1110551,40.7183,23.0965,Θεσσαλονίκη,7.7,85,,15,,,
Ioannina,167901,39.7706,20.8076,Γιάννενα,1.8,3,,,,,
Kavala,138687,,,Καβάλα,2.2,3,,,,,
Karditsa,113544,,,Καρδίτσα,0,,,,,,
Kastoria,50322,40.4528,21.1414,Καστοριά,168.9,85,1,13,,,
Corfu (Kerkyra),104371,,,Κέρκυρα,1.9,2,,1,,,
Kefalonia,39032,,,Αργοστόλι,2.6,1,,,,,
Kilkis,80419,40.9937,22.8754,Κιλκίς,5,4,,,,,
Kozani,150196,40.3006,21.7888,Κοζάνη,47.3,71,4,14,,,
Corinthia,145082,38.24014,22.09433,Κόρινθος,0,,,,,,
Cruise Ship,,,,,,119,,,,,
Cyclades,118027,,,Ερμούπολη,3.4,4,,,,,
Laconia,89138,37.074299,22.432581,Σπάρτη,1.1,1,,,,,
Larissa,284325,39.639,22.4191,Λάρισα,44,125,,2,,,
Lasithi,75381,35.0812,25.7102,Άγιος Νικόλαος,1.3,1,,,,,
Lesbos,103698,39.2645,26.2777,Μυτιλήνη,7.7,8,,,,,
Lefkada,23693,,,Λευκάδα,4.2,1,,,,,
Magnesia,203808,39.2686,22.7629,Βόλος,1,2,,,,,
Messenia,159954,37.02737,22.109119,Καλαμάτα,4.4,7,,,,,
Xanthi,111222,41.1363,24.8877,Ξάνθη,46.8,52,,5,,,
Piraeus,448997,,,,12.5,56,,,,,
Pella,139680,,,Έδεσσα,1.4,2,,2,,,
Pieria,126698,40.2702,22.5121,Κατερίνη,4.7,6,,,,,
Preveza,57491,,,Πρέβεζα,1.7,1,,,,,
Rethymno,85609,,,Ρέθυμνο,1.2,1,,,,,
Rhodope,112039,41.1224,25.4066,Κομοτηνή,0.9,1,,1,,,
Samos,42859,,,Σάμος,2.3,1,,,,,
Serres,176430,,,Σέρρες,4.5,8,,1,,,
Trikala,131085,39.5557,21.7679,Τρίκαλα,0.8,1,,,,,
Phthiotis,158231,,,Λαμία,1.9,3,,,,,
Florina,51414,,,Φλώρινα,1.9,1,,,,,
Phocis,40343,,,Άμφισσα,0,,,,,,
Chalkidiki,107719,,,Πολύγυρος,0,,,,,,
Chania,156585,,,Χανιά,0.6,1,,,,,
Chios,52674,,,Χίος,0,,,,,,
